Id,ApiGameId,SystemId,Title,Genre,CoverURL,Upc,loose-price,cib-price,GameConsoleId,release-date
220,12209,NES,Double Dragon III,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/2/2e/NES_Double_Dragon_III_cover.jpg/255px-NES_Double_Dragon_III_cover.jpg,,$12.00,$37.54,1,1991-02-01
222,38023,NES,Double Dribble [5 Screw],Basketball,https://www.mobygames.com/images/covers/l/70319-double-dribble-amiga-front-cover.jpg,,$5.32,$14.68,1,1987-09-01
221,11988,NES,Double Dribble,Basketball,https://www.mobygames.com/images/covers/l/70319-double-dribble-amiga-front-cover.jpg,,$4.25,$6.50,1,1987-09-01
223,12210,NES,Double Strike,Action & Adventure,https://www.mobygames.com/images/covers/l/16840-double-strike-nes-front-cover.jpg,,$16.40,$39.99,1,1990-01-01
224,12211,NES,Dr Chaos,Action & Adventure,https://www.mobygames.com/images/covers/l/202665-dr-chaos-nes-front-cover.jpg,,$6.09,$22.91,1,1988-11-01
225,12212,NES,Dr Jekyll and Mr Hyde,Action & Adventure,https://www.mobygames.com/images/covers/l/163637-dr-jekyll-and-mr-hyde-nes-front-cover.jpg,,$12.12,$31.74,1,1989-04-01
226,8859,NES,Dr. Mario,Puzzle,https://upload.wikimedia.org/wikipedia/en/thumb/f/f8/Dr._Mario_box_art.jpg/220px-Dr._Mario_box_art.jpg,,$6.78,$15.98,1,1990-10-01
227,8864,NES,Dragon Fighter,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/a/a6/Dragon_Fighter_cover.jpg,,$232.11,$418.25,1,1992-01-01
228,12213,NES,Dragon Power,Action & Adventure,https://www.mobygames.com/images/covers/l/153084-dragon-power-nes-front-cover.jpg,,$6.00,$15.03,1,1988-03-01
229,12214,NES,Dragon Spirit,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/1/19/Dragon-spirit.jpg/250px-Dragon-spirit.jpg,,$7.95,$22.85,1,1989-12-01
230,12216,NES,Dragon Warrior,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/8/84/Dragon_Warrior.jpg/220px-Dragon_Warrior.jpg,,$8.84,$33.00,1,1989-08-01
231,12215,NES,Dragon Warrior II,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon_Warrior_II.jpg/220px-Dragon_Warrior_II.jpg,,$33.21,$77.44,1,1990-09-01
232,8868,NES,Dragon Warrior III,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/b/b8/Dragon_Warrior_III.jpg/220px-Dragon_Warrior_III.jpg,,$54.66,$129.42,1,1992-03-01
233,8869,NES,Dragon Warrior IV,RPG,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Dragon_Quest_IV_cover.jpg/220px-Dragon_Quest_IV_cover.jpg,,$66.00,$126.54,1,1992-10-01
234,12217,NES,Dragon's Lair the Legend,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/f/fd/Dragon%27s_Lair_NES_cover.jpg/220px-Dragon%27s_Lair_NES_cover.jpg,,$15.97,$35.32,1,1990-12-01
235,12218,NES,Duck Hunt,Other,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/DuckHuntBox.jpg/220px-DuckHuntBox.jpg,,$6.09,$25.49,1,1985-10-18
236,37976,NES,Duck Hunt [5 Screw],Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/1/14/DuckHuntBox.jpg/220px-DuckHuntBox.jpg,,$6.07,$35.26,1,1985-10-18
237,12219,NES,Duck Tales,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/6/64/DuckTales_NES_Cover.png/220px-DuckTales_NES_Cover.png,,$15.16,$46.66,1,1989-09-01
238,8878,NES,Duck Tales 2,Action & Adventure,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Ducktales_2_cover.png/220px-Ducktales_2_cover.png,,$154.27,$412.16,1,1993-10-01
239,34156,NES,Duck Tales Gold Cartridge,Action & Adventure,https://4.bp.blogspot.com/-8oUO9GvEKJY/UgkFGDSg_JI/AAAAAAAAHJo/q4C_K2pOhJc/s1600/gold-duck-tales-nes.jpg,,$1200.00,$1275.00,1,2013-08-08
240,12220,NES,Dudes with Attitude,Action & Adventure,https://static.giantbomb.com/uploads/scale_small/9/93770/2361690-nes_dudeswithattitude.jpg,,$8.45,$22.95,1,1990-01-01
241,12221,NES,Dungeon Magic,RPG,https://upload.wikimedia.org/wikipedia/en/8/85/Dungeon_Magic_Sword_of_the_Elements.jpg,,$7.50,$25.25,1,1989-11-10
242,12222,NES,Dusty Diamond's All-Star Softball,Baseball,http://img2.game-oldies.com/sites/default/files/packshots/nintendo-nes/dusty-diamond-s-all-star-softball-usa.png,,$50.09,$78.54,1,1990-07-01
