Id,SystemId,Title,Genre, CoverURL, Upc
9316,NES,Mega Man 5,Action & Adventure
9317,NES,Mega Man 6,Action & Adventure
34155,NES,Mega Man 9 Press Kit,Action & Adventure
38045,NES,Mega Man [5 Screw],Action & Adventure
16294,NES,Megacom 76,Other
12325,NES,Menace Beach,Action & Adventure
12326,NES,Mendel Palace,Action & Adventure
12327,NES,Mermaids of Atlantis,Action & Adventure
12328,NES,Metal Fighter,Fighting
12329,NES,Metal Gear,Action & Adventure
12330,NES,Metal Mech,Action & Adventure
12331,NES,Metal Storm,Action & Adventure
9331,NES,Metroid,Action & Adventure
37991,NES,Metroid [5 Screw],Action & Adventure
38511,NES,Metroid [Yellow Label],Action & Adventure
12332,NES,Michael Andretti's World GP,Racing
9337,NES,Mickey Mousecapade,Action & Adventure
9338,NES,Mickey's Adventure in Numberland,Action & Adventure
9339,NES,Mickey's Safari in Letterland,Action & Adventure
12333,NES,Micro Machines,Racing
39523,NES,Micro Machines [Aladdin],Racing
12334,NES,Mig 29,Other
9349,NES,Might and Magic,Strategy
12002,NES,Mighty Bomb Jack,Action & Adventure
38011,NES,Mighty Bomb Jack [5 Screw],Action & Adventure
9351,NES,Mighty Final Fight,Action & Adventure
12001,NES,Mike Tyson's Punch-Out,Sports
39517,NES,Mike Tyson's Punch-Out [5 Screw],Sports
12336,NES,Millipede,Arcade
12003,NES,Milon's Secret Castle,Action & Adventure
12337,NES,Miracle Piano,Music
50113,NES,Miracle Piano Keyboard,Accessories
19303,NES,Mission Cobra,Other
9358,NES,Mission Impossible,Action & Adventure
9366,NES,Monopoly,Strategy
12338,NES,Monster Party,Action & Adventure
12339,NES,Monster Truck Rally,Racing
12340,NES,Monster in My Pocket,Action & Adventure
21116,NES,Moon Ranger,Action & Adventure
9377,NES,Motor City Patrol,Action & Adventure
9382,NES,Ms. Pac-Man (Namco),Action & Adventure
30883,NES,Ms. Pac-Man [Tengen],Arcade
12341,NES,Muppet Adventure,Action & Adventure
9390,NES,Mutant Virus,Action & Adventure
14929,NES,Myriad 6-in-1,Action & Adventure
12342,NES,Mystery Quest,Action & Adventure
12343,NES,NARC,Action & Adventure
16388,NES,NES Advantage Controller,Controllers
16389,NES,NES Four Score,Accessories
21587,NES,NES Max Controller,Controllers
9449,NES,NES Open Tournament Golf,Sports
19364,NES,NES Satellite 4 Controller Port,Accessories
9459,NES,NFL Football,Football
21251,NES,NTF2 Test Cartridge,Other
9483,NES,Nigel Mansell's World Championship Racing,Racing
9487,NES,Nightshade,Action & Adventure
12344,NES,Ninja Crusaders,Action & Adventure
9488,NES,Ninja Gaiden,Action & Adventure
12004,NES,Ninja Gaiden II The Dark Sword of Chaos,Action & Adventure
9490,NES,Ninja Gaiden III Ancient Ship of Doom,Action & Adventure
12345,NES,Ninja Kid,Action & Adventure
37995,NES,Ninja Kid [5 Screw],Action & Adventure
19387,NES,Nintendo Campus Challenge 1991,Other
34874,NES,Nintendo Campus Challenge 1991 [Reproduction],Action & Adventure
38568,NES,Nintendo NES Action Set Console,Systems
38570,NES,Nintendo NES Challenge Set Console,Systems
37130,NES,Nintendo NES Classic Edition,Systems
37198,NES,Nintendo NES Classic Edition Controller,Controllers
13743,NES,Nintendo NES Console,Systems
13805,NES,Nintendo NES Controller,Controllers
39977,NES,Nintendo NES Deluxe Set Console,Systems
40469,NES,Nintendo NES Power Set Console,Systems
38569,NES,Nintendo NES Sports Set Console,Systems
14933,NES,Nintendo World Championship,Action & Adventure
16173,NES,Nintendo World Championship Gold,Action & Adventure
38640,NES,Nintendo World Championship [25th Anniversary],Other
34873,NES,Nintendo World Championship [Reproduction],Action & Adventure
9492,NES,Nintendo World Cup,Soccer
9495,NES,Nobunaga's Ambition,Strategy
13108,NES,Nobunaga's Ambition 2,Strategy
12346,NES,North and South,Action & Adventure
12347,NES,ORB 3D,Action & Adventure
14281,NES,Operation Secret Storm,Action & Adventure
12348,NES,Operation Wolf,Action & Adventure
12349,NES,Othello,Puzzle
9516,NES,Overlord,Strategy
19390,NES,P'radikus Conflict,Strategy
12350,NES,POW Prisoners of War,Action & Adventure
9518,NES,Pac-Man [Namco],Action & Adventure
40508,NES,Pac-Man [Tengen Gray],Arcade
30882,NES,Pac-Man [Tengen],Arcade
12351,NES,Pac-Mania,Action & Adventure
